Role,Permission,Frequency,Meets_Impact_Threshold
Role_0,234,0.9779816513761468,True
Role_0,289,0.9743119266055046,True
Role_0,312,0.9761467889908257,True
Role_1,155,0.9742647058823529,True
Role_1,175,0.9797794117647058,True
Role_1,180,0.9705882352941176,True
Role_1,187,0.9834558823529411,True
Role_1,191,0.9742647058823529,True
Role_1,324,0.9779411764705882,True
Role_2,151,0.9788679245283018,True
Role_2,248,0.9773584905660377,True
Role_2,262,0.9773584905660377,True
Role_2,263,0.9856603773584905,True
Role_2,282,0.9803773584905661,True
Role_2,306,0.9826415094339622,True
Role_2,307,0.9781132075471698,True
Role_3,305,0.9908925318761385,True
Role_3,328,0.9744990892531876,True
Role_3,345,0.9872495446265938,True
Role_4,6,0.9833564493758669,True
Role_4,19,0.9736477115117892,True
Role_4,22,0.9778085991678225,True
Role_4,30,0.9819694868238558,True
Role_5,131,0.9742063492063492,True
Role_5,133,0.9841269841269841,True
Role_5,147,0.9801587301587301,True
Role_5,148,0.9702380952380952,True
Role_5,151,0.9781746031746031,True
Role_5,176,0.9801587301587301,True
Role_5,191,0.9761904761904762,True
Role_7,9,0.9877622377622378,True
Role_7,305,0.9790209790209791,True
Role_7,308,0.972027972027972,True
